CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Afghanistan,400000000.0,39400000.0,140400000.0,0.0,38162.0,1402.0,53.729632653061365,55.480040816326564,42.75514285714275,50.529714285714284,0.0,0.0,0.0,0.0,38928341.0,54.422,18.6,1.337,1803.987,0.0,37.746,0.5,64.83
Albania,382052000.0,0.0,25000000.0,0.0,9380.0,280.0,52.43991836734706,56.72612244897958,49.33579591836726,50.64395918367349,42.142857142857146,0.0,0.0,0.0,2877800.0,104.87100000000001,38.0,8.642999999999999,11803.431,1.1,0.0,2.89,78.57
Algeria,545000000.0,0.0,226000000.0,0.0,44146.0,1501.0,53.37232653061218,59.155265306122324,45.009795918367324,48.146408163265264,27.755102040816325,0.0,0.0,0.0,43851043.0,17.348,29.1,3.8569999999999998,13913.839,0.5,83.741,1.9,76.88
Andorra,141399000.0,473499125.0,2509518.5,0.0,1124.0,53.0,30.847673469387804,43.3571428571428,37.672326530612246,33.797183673469334,58.97959183673469,0.0,0.0,0.0,77265.0,163.755,0.0,0.0,0.0,0.0,0.0,0.0,83.73
Angola,9000000.0,0.0,120000000.0,0.0,2624.0,107.0,53.513836734693804,57.5438367346938,45.01742857142847,48.656571428571354,25.0,0.0,0.0,0.0,32866268.0,23.89,16.8,1.3619999999999999,5819.495,0.0,26.664,0.0,61.15
Anguilla,0.0,0.0,0.0,0.0,3.0,0.0,35.072105263157894,40.42094736842118,52.67939655172405,55.577844827586304,22.43421052631579,0.0,0.0,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88
Argentina,10000000000.0,0.0,47000000.0,0.0,401226.0,8401.0,65.76281632653044,68.18975510204089,60.68995901639351,62.74487704918035,49.385245901639344,1082679.0,23.955,18.301,45195777.0,16.177,31.9,7.441,18933.907,0.6,0.0,5.0,76.67
Aruba,0.0,0.56,0.0,0.0,1997.0,10.0,36.91702040816327,42.06959183673474,38.577020408163285,36.331428571428575,50.91836734693877,0.0,0.0,0.0,106766.0,584.8,41.2,7.452000000000001,35973.781,0.0,0.0,0.0,76.29
Australia,99179238800.0,185925761.0,1561787799.0,7473254.0,25670.0,611.0,50.36612244897955,52.56261224489789,53.12693877551023,53.67448979591851,50.10204081632653,6168229.0,241.892,4924.769,25499881.0,3.202,37.9,10.129,44648.71,0.5,0.0,3.84,83.44
Austria,41182448771.0,0.0,0.0,1085695.0,27218.0,733.0,38.72673469387756,43.35469387755115,46.46118367346928,43.955755102040946,60.255102040816325,1180711.0,131.097,250.023,9006400.0,106.749,44.4,13.748,45436.685999999994,0.7,0.0,7.37,81.54
Azerbaijan,588235290.0,5000000.0,0.0,0.0,36309.0,531.0,62.129795918367265,63.26428571428574,57.38097959183666,62.3592653061226,30.0,0.0,0.0,0.0,10139175.0,119.309,32.4,3.8710000000000004,15847.419,0.0,83.241,4.7,73.0
Bahrain,11436170212.0,0.0,468500000.0,0.0,51574.0,189.0,54.48330578512407,60.34462809917342,59.01880165289271,58.454214876033035,62.138429752066116,1100729.0,646.885,140.467,1701583.0,1935.9070000000002,32.4,1.3869999999999998,43290.705,0.0,0.0,2.0,77.29
Bangladesh,8564857500.0,1500000.0,100320307.0,0.0,310822.0,4248.0,58.88567901234586,63.05148148148146,53.49917695473272,56.77197530864188,35.49382716049383,1514126.0,9.193999999999999,135.625,164689383.0,1265.036,27.5,3.262,3523.9840000000004,14.8,34.808,0.8,72.59
Barbados,1000000000.0,15000.0,0.0,0.0,173.0,7.0,49.29734693877545,54.94763265306142,46.881265306122515,50.897306122449,24.79591836734694,0.0,0.0,0.0,287371.0,664.4630000000001,39.8,9.472999999999999,16978.068,0.0,88.469,5.8,79.19
Belarus,0.0,0.0,0.0,0.0,71687.0,676.0,8.73110655737704,12.535286885245908,14.840901639344256,17.540204918032792,0.0,1497421.0,158.469,855.4,9449321.0,46.858000000000004,40.3,9.788,17167.967,0.0,0.0,11.0,74.79
Belgium,9608192466.0,0.0,1076350000.0,22000000.0,84948.0,9894.0,48.011714285714255,50.53371428571416,50.115387755102226,48.85624489795914,57.04081632653061,2278391.0,196.58900000000003,158.157,11589616.0,375.564,41.8,12.849,42658.575999999994,0.2,0.0,5.64,81.63
Belize,12500000.0,0.0,0.0,0.0,994.0,13.0,50.51807377049181,54.49258196721299,45.908934426229486,49.28053278688521,27.35655737704918,0.0,0.0,0.0,397621.0,16.426,25.0,2.279,7824.361999999999,0.0,90.083,1.3,74.62
Benin,127683025.0,0.0,12066590.0,0.0,2145.0,40.0,35.93848979591837,41.69546938775501,37.196857142857155,39.91604081632645,22.244897959183675,0.0,0.0,0.0,12123198.0,99.11,18.8,1.942,2064.236,49.6,11.035,0.5,61.77
Bermuda,20621000.0,0.0,2800000.0,0.0,169.0,9.0,47.43644628099173,54.53632231404972,49.54871900826441,52.36128099173558,34.09090909090909,0.0,0.0,0.0,62273.0,1308.82,0.0,0.0,50669.315,0.0,0.0,0.0,82.59
Bhutan,397281300.0,100000.0,26485420.0,0.0,224.0,0.0,55.43330612244887,62.868734693877386,54.94142857142873,56.275020408163336,47.60204081632653,0.0,0.0,0.0,771612.0,21.188000000000002,28.6,2.977,8708.597,1.5,79.807,1.7,71.78
Bolivia,215500000.0,0.0,101387930.0,0.0,115968.0,4966.0,64.12766393442611,65.90213114754103,49.81782786885249,54.29610655737719,25.204918032786885,232975.0,19.958,19.6,11673029.0,10.202,25.4,4.393,6885.829000000001,7.1,25.383000000000003,1.1,71.51
Bosnia and Herzegovina,580000000.0,0.0,16459500.0,0.0,19789.0,592.0,50.55828571428577,55.94473469387749,41.946122448979516,46.06693877551015,19.285714285714285,0.0,0.0,0.0,3280815.0,68.49600000000001,42.5,10.710999999999999,11713.895,0.2,97.164,3.5,77.4
Botswana,176163091.0,0.0,3150000.0,0.0,1633.0,6.0,48.26065573770482,53.59491803278679,43.550122950819734,44.30483606557371,39.39549180327869,0.0,0.0,0.0,2351625.0,4.044,25.8,2.242,15807.374,0.0,0.0,1.8,69.59
Brazil,117839000000.0,0.0,1758230000.0,127000000.0,3862311.0,120828.0,53.8794650205763,55.394485596707625,46.033374485596674,48.455637860082355,32.71604938271605,4797948.0,22.572,0.0,212559409.0,25.04,33.5,5.06,14103.452,3.4,0.0,2.2,75.88
British Virgin Islands,62500000.0,0.0,0.0,0.0,37.0,1.0,37.98200000000005,44.636052631579076,62.13333333333325,57.48484848484841,,0.0,0.0,0.0,30237.0,207.97299999999998,0.0,0.0,0.0,0.0,0.0,0.0,79.07
Brunei,314000000.0,0.0,7686929.0,0.0,144.0,3.0,39.17053061224492,46.322979591836706,35.91118367346939,40.974408163265295,8.061224489795919,0.0,0.0,0.0,437483.0,81.347,32.4,2.3819999999999997,71809.25099999999,0.0,0.0,2.7,75.86
Bulgaria,5140000000.0,0.0,201407095.0,0.0,16190.0,613.0,36.76583673469377,43.00820408163261,38.17922448979601,36.95714285714294,44.89795918367347,404683.0,58.24100000000001,100.975,6948445.0,65.18,44.7,13.272,18563.307,1.5,0.0,7.454,75.05
Burkina Faso,0.0,0.0,15234800.0,0.0,1368.0,55.0,40.93008333333327,45.35274999999992,36.039125000000034,42.59049999999995,0.0,0.0,0.0,0.0,20903278.0,70.15100000000001,17.6,1.358,1703.102,43.7,11.877,0.4,61.58
Burundi,0.0,0.0,0.0,0.0,445.0,1.0,20.136081632653006,27.19163265306131,18.89538775510206,22.332367346938828,0.0,0.0,0.0,0.0,11890781.0,423.06199999999995,17.5,1.504,702.225,71.7,6.144,0.8,61.58
Cambodia,500000000.0,0.0,0.0,0.0,274.0,0.0,34.18016460905352,40.94687242798355,30.514362139917807,33.20296296296304,15.74074074074074,0.0,0.0,0.0,16718971.0,90.67200000000001,25.6,2.385,3645.07,0.0,66.229,0.8,69.82
Cameroon,0.0,0.0,1670000.0,0.0,19142.0,411.0,42.670653061224485,51.443142857143,37.635714285714236,42.141428571428726,12.857142857142858,0.0,0.0,0.0,26545864.0,50.885,18.8,1.919,3364.926,23.8,2.735,1.3,59.29
Canada,26219236000.0,30000000.0,206400000.0,600000000.0,127940.0,9117.0,48.947999999999865,49.818571428571246,52.17085714285698,52.19538775510203,52.04081632653061,5440371.0,144.14600000000002,148.923,37742157.0,4.037,41.4,10.797,44017.59099999999,0.5,0.0,2.5,82.43
Cape Verde,258392.25,0.0,4311831.77,0.0,3852.0,40.0,53.74367346938775,59.1008979591836,53.014775510203876,53.69330612244895,49.285714285714285,0.0,0.0,0.0,555988.0,135.58,25.7,3.437,6222.554,0.0,0.0,2.1,72.98
Cayman Islands,0.0,0.0,0.0,0.0,205.0,1.0,49.29889473684213,53.239315789473636,64.13163265306125,75.53747899159642,,0.0,0.0,0.0,65720.0,256.496,0.0,0.0,49903.029,0.0,0.0,0.0,83.92
Central African Republic,67199760.0,0.0,0.0,0.0,4700.0,61.0,42.89999999999994,46.15979508196726,36.01094262295082,39.37315573770493,17.520491803278688,0.0,0.0,0.0,4829764.0,7.479,18.3,2.251,661.24,0.0,16.602999999999998,1.0,53.28
Chad,24000000.0,0.0,0.0,0.0,1012.0,77.0,46.674467213114674,50.3813114754098,42.3017622950819,44.106393442622974,32.377049180327866,0.0,0.0,0.0,16425859.0,11.833,16.7,1.446,1768.1529999999998,38.4,5.818,0.0,54.24
Chile,10250000000.0,12000000000.0,1500000000.0,3435342491.0,409974.0,11244.0,54.55804081632645,54.39730612244905,51.94465306122447,54.3848979591836,38.52040816326531,2400522.0,125.575,15.975,19116209.0,24.281999999999996,35.4,6.938,22767.037,1.3,0.0,2.11,80.18
China,1192572826071.0,281340028.0,14190000000.0,0.0,89895.0,4722.0,69.63848979591842,67.18057142857162,64.87257142857106,73.40510204081623,17.959183673469386,0.0,0.0,0.0,1439323774.0,147.674,38.7,5.928999999999999,15308.712,0.7,0.0,4.34,76.91
Colombia,17000000000.0,0.0,6152881698.0,0.0,607938.0,19364.0,61.75077551020436,65.92975510204083,59.7800816326533,61.627918367347085,49.59183673469388,2599703.0,51.092,102.2,50882884.0,44.223,32.2,4.312,13254.948999999999,4.5,65.38600000000001,1.71,77.29
