,location,date,new_cases_per_million,total_cases_per_million,new_deaths_per_million,total_deaths_per_million
0,Afghanistan,31/12/2019,0.0,0.0,0.0,0.0
1,Afghanistan,01/01/2020,0.0,0.0,0.0,0.0
2,Afghanistan,02/01/2020,0.0,0.0,0.0,0.0
3,Afghanistan,03/01/2020,0.0,0.0,0.0,0.0
4,Afghanistan,04/01/2020,0.0,0.0,0.0,0.0
5,Afghanistan,05/01/2020,0.0,0.0,0.0,0.0
6,Afghanistan,06/01/2020,0.0,0.0,0.0,0.0
7,Afghanistan,07/01/2020,0.0,0.0,0.0,0.0
8,Afghanistan,08/01/2020,0.0,0.0,0.0,0.0
9,Afghanistan,09/01/2020,0.0,0.0,0.0,0.0
10,Afghanistan,10/01/2020,0.0,0.0,0.0,0.0
11,Afghanistan,11/01/2020,0.0,0.0,0.0,0.0
12,Afghanistan,12/01/2020,0.0,0.0,0.0,0.0
13,Afghanistan,13/01/2020,0.0,0.0,0.0,0.0
14,Afghanistan,14/01/2020,0.0,0.0,0.0,0.0
15,Afghanistan,15/01/2020,0.0,0.0,0.0,0.0
16,Afghanistan,16/01/2020,0.0,0.0,0.0,0.0
17,Afghanistan,17/01/2020,0.0,0.0,0.0,0.0
18,Afghanistan,18/01/2020,0.0,0.0,0.0,0.0
19,Afghanistan,19/01/2020,0.0,0.0,0.0,0.0
20,Afghanistan,20/01/2020,0.0,0.0,0.0,0.0
21,Afghanistan,21/01/2020,0.0,0.0,0.0,0.0
22,Afghanistan,22/01/2020,0.0,0.0,0.0,0.0
23,Afghanistan,23/01/2020,0.0,0.0,0.0,0.0
24,Afghanistan,24/01/2020,0.0,0.0,0.0,0.0
25,Afghanistan,25/01/2020,0.0,0.0,0.0,0.0
26,Afghanistan,26/01/2020,0.0,0.0,0.0,0.0
27,Afghanistan,27/01/2020,0.0,0.0,0.0,0.0
28,Afghanistan,28/01/2020,0.0,0.0,0.0,0.0
29,Afghanistan,29/01/2020,0.0,0.0,0.0,0.0
30,Afghanistan,30/01/2020,0.0,0.0,0.0,0.0
31,Afghanistan,31/01/2020,0.0,0.0,0.0,0.0
32,Afghanistan,01/02/2020,0.0,0.0,0.0,0.0
33,Afghanistan,02/02/2020,0.0,0.0,0.0,0.0
34,Afghanistan,03/02/2020,0.0,0.0,0.0,0.0
35,Afghanistan,04/02/2020,0.0,0.0,0.0,0.0
36,Afghanistan,05/02/2020,0.0,0.0,0.0,0.0
37,Afghanistan,06/02/2020,0.0,0.0,0.0,0.0
38,Afghanistan,07/02/2020,0.0,0.0,0.0,0.0
39,Afghanistan,08/02/2020,0.0,0.0,0.0,0.0
40,Afghanistan,09/02/2020,0.0,0.0,0.0,0.0
41,Afghanistan,10/02/2020,0.0,0.0,0.0,0.0
42,Afghanistan,11/02/2020,0.0,0.0,0.0,0.0
43,Afghanistan,12/02/2020,0.0,0.0,0.0,0.0
44,Afghanistan,13/02/2020,0.0,0.0,0.0,0.0
45,Afghanistan,14/02/2020,0.0,0.0,0.0,0.0
46,Afghanistan,15/02/2020,0.0,0.0,0.0,0.0
47,Afghanistan,16/02/2020,0.0,0.0,0.0,0.0
48,Afghanistan,17/02/2020,0.0,0.0,0.0,0.0
49,Afghanistan,18/02/2020,0.0,0.0,0.0,0.0
50,Afghanistan,19/02/2020,0.0,0.0,0.0,0.0
51,Afghanistan,20/02/2020,0.0,0.0,0.0,0.0
52,Afghanistan,21/02/2020,0.0,0.0,0.0,0.0
53,Afghanistan,22/02/2020,0.0,0.0,0.0,0.0
54,Afghanistan,23/02/2020,0.0,0.0,0.0,0.0
55,Afghanistan,24/02/2020,0.0,0.0,0.0,0.0
56,Afghanistan,25/02/2020,0.026000000000000002,0.026000000000000002,0.0,0.0
57,Afghanistan,26/02/2020,0.0,0.026000000000000002,0.0,0.0
58,Afghanistan,27/02/2020,0.0,0.026000000000000002,0.0,0.0
59,Afghanistan,28/02/2020,0.0,0.026000000000000002,0.0,0.0
60,Afghanistan,29/02/2020,0.0,0.026000000000000002,0.0,0.0
61,Afghanistan,01/03/2020,0.0,0.026000000000000002,0.0,0.0
62,Afghanistan,02/03/2020,0.0,0.026000000000000002,0.0,0.0
63,Afghanistan,03/03/2020,,,,
64,Afghanistan,04/03/2020,,,,
65,Afghanistan,05/03/2020,,,,
66,Afghanistan,06/03/2020,,,,
67,Afghanistan,07/03/2020,,,,
68,Afghanistan,08/03/2020,0.077,0.10300000000000001,0.0,0.0
69,Afghanistan,09/03/2020,,,,
70,Afghanistan,10/03/2020,,,,
71,Afghanistan,11/03/2020,0.077,0.18,0.0,0.0
72,Afghanistan,12/03/2020,,,,
73,Afghanistan,13/03/2020,,,,
74,Afghanistan,14/03/2020,,,,
75,Afghanistan,15/03/2020,0.077,0.257,0.0,0.0
76,Afghanistan,16/03/2020,0.154,0.41100000000000003,0.0,0.0
77,Afghanistan,17/03/2020,0.128,0.539,0.0,0.0
78,Afghanistan,18/03/2020,0.026000000000000002,0.565,0.0,0.0
79,Afghanistan,19/03/2020,0.0,0.565,0.0,0.0
80,Afghanistan,20/03/2020,0.0,0.565,0.0,0.0
81,Afghanistan,21/03/2020,0.051,0.617,0.0,0.0
82,Afghanistan,22/03/2020,0.0,0.617,0.0,0.0
83,Afghanistan,23/03/2020,0.257,0.873,0.0,0.0
84,Afghanistan,24/03/2020,0.154,1.028,0.026000000000000002,0.026000000000000002
85,Afghanistan,25/03/2020,0.051,1.079,0.0,0.026000000000000002
86,Afghanistan,26/03/2020,0.848,1.9269999999999998,0.0,0.026000000000000002
87,Afghanistan,27/03/2020,0.0,1.9269999999999998,0.0,0.026000000000000002
88,Afghanistan,28/03/2020,0.41100000000000003,2.338,0.026000000000000002,0.051
89,Afghanistan,29/03/2020,0.385,2.7230000000000003,0.026000000000000002,0.077
90,Afghanistan,30/03/2020,0.20600000000000002,2.928,0.026000000000000002,0.10300000000000001
91,Afghanistan,31/03/2020,0.6940000000000001,3.622,0.0,0.10300000000000001
92,Afghanistan,01/04/2020,0.642,4.263999999999999,0.0,0.10300000000000001
93,Afghanistan,02/04/2020,0.6679999999999999,4.9319999999999995,0.0,0.10300000000000001
94,Afghanistan,03/04/2020,1.105,6.037000000000001,0.0,0.10300000000000001
95,Afghanistan,04/04/2020,0.0,6.037000000000001,0.0,0.10300000000000001
96,Afghanistan,05/04/2020,0.899,6.936,0.026000000000000002,0.128
97,Afghanistan,06/04/2020,0.745,7.681,0.051,0.18
98,Afghanistan,07/04/2020,0.976,8.657,0.0,0.18
99,Afghanistan,08/04/2020,0.7709999999999999,9.427999999999999,0.10300000000000001,0.28300000000000003
100,Afghanistan,09/04/2020,1.439,10.866,0.077,0.36
101,Afghanistan,10/04/2020,1.567,12.433,0.026000000000000002,0.385
102,Afghanistan,11/04/2020,0.95,13.384,0.0,0.385
103,Afghanistan,12/04/2020,0.873,14.257,0.077,0.462
104,Afghanistan,13/04/2020,1.3359999999999999,15.593,0.0,0.462
105,Afghanistan,14/04/2020,1.49,17.083,0.077,0.539
106,Afghanistan,15/04/2020,1.2590000000000001,18.340999999999998,0.051,0.591
107,Afghanistan,16/04/2020,1.798,20.14,0.051,0.642
108,Afghanistan,17/04/2020,0.257,20.396,0.10300000000000001,0.745
109,Afghanistan,18/04/2020,1.31,21.706999999999997,0.026000000000000002,0.7709999999999999
110,Afghanistan,19/04/2020,1.618,23.325,0.0,0.7709999999999999
